iter	MultiClass
0	0.9304550069
1	0.8040915326
2	0.7058467915
3	0.6259256222
4	0.5586269294
5	0.5014670064
6	0.4547218429
7	0.4148884284
8	0.3793523386
9	0.3495475221
10	0.3246768762
11	0.3007561801
12	0.2810523402
13	0.2623724233
14	0.2459485595
15	0.2318328504
16	0.2193600643
17	0.2084459102
18	0.1976668186
19	0.1883512235
20	0.1798385124
21	0.172528601
22	0.1656717794
23	0.1593651753
24	0.1539120089
25	0.1484055578
26	0.1438525138
27	0.1400979441
28	0.1334065518
29	0.1288784483
30	0.1252350488
31	0.1225878839
32	0.119390505
33	0.1170783384
34	0.1147502035
35	0.1126775143
36	0.110857233
37	0.1088135504
38	0.1073250099
39	0.106014372
40	0.1048115576
41	0.1033450106
42	0.1021708785
43	0.1013459092
44	0.100448816
45	0.09964074722
46	0.09891708257
47	0.09833126777
48	0.09764855205
49	0.09661062822
50	0.09609539614
51	0.09529232545
52	0.09459220098
53	0.09395598576
54	0.09360593759
55	0.09311927686
56	0.09282183671
57	0.09230008267
58	0.09180210004
59	0.09146964592
60	0.09106748372
61	0.09061558844
62	0.09031295033
63	0.09011699859
64	0.08988218771
65	0.0896814314
66	0.08932168924
67	0.08890583069
68	0.0885675268
69	0.08826570473
70	0.08795704908
71	0.08779171816
72	0.0875327394
73	0.08740243595
74	0.0871510961
75	0.08707587538
76	0.08679900057
77	0.08660238434
78	0.08639952352
79	0.08629049883
80	0.08605392476
81	0.0859034875
82	0.0857016234
83	0.08550192925
84	0.08526514502
85	0.08509140892
86	0.08497811851
87	0.08478931605
88	0.08463693259
89	0.08453034669
90	0.08429533623
91	0.0842647561
92	0.08421020045
93	0.08401775302
94	0.08395017895
95	0.0838136692
96	0.0836772286
97	0.08358322925
98	0.08344606656
99	0.08331688146
100	0.08318009172
101	0.08297625079
102	0.08282678211
103	0.08273436141
104	0.08266940346
105	0.08258009298
106	0.0824724827
107	0.08240942033
108	0.0822721921
109	0.08211273918
110	0.08203559926
111	0.0819578522
112	0.08191469132
113	0.08172188609
114	0.08163868114
115	0.08149875586
116	0.08137692226
117	0.08131970239
118	0.08129837671
119	0.0812395811
120	0.08115947394
121	0.08110181848
122	0.08101855715
123	0.08089634364
124	0.08085645879
125	0.08077315566
126	0.08070468621
127	0.08061787326
128	0.08049538961
129	0.08036109261
130	0.08023897958
131	0.08016925295
132	0.08005403127
133	0.07990262384
134	0.07982971401
135	0.07972745851
136	0.0796773037
137	0.07958751508
138	0.07955431706
139	0.07947321641
140	0.07943261684
141	0.07937520397
142	0.07931516333
143	0.07915972801
144	0.07909245401
145	0.07905815278
146	0.07900612064
147	0.07889394641
148	0.07884280788
149	0.07872898251
